id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
664d11e6124e3ad6e6277871,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664d11e6124e3ad6e6277871_T2_2024-06-18_11h06.54.644.csv,0.624357554149974,0.8,1.83979284759767,1,1,0,1.0902856151337,2,5.4653996777472,4,4,0.121222003657295,0.5,0.247494908178123,0.5,0.193798784093322,0.5,0.278246283338141,0.2,1,0.684036089641084,0.891369235698109,0.775,0.921052631578947,38,0.026431718061674,0.643939393939394,0.3,38,-230.882903050676,3
664dcd50e61b5246d5b7377b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664dcd50e61b5246d5b7377b_T2_2024-07-27_22h32.56.706.csv,0.637407604870216,0.8,1.43561220665273,1,1,0,1.49790260457815,2,0.446317617918112,4,4,0.471243331413241,0.5,0.609963328274768,0.5,0.404951973871287,0.5,0.43787925501185,0.2,1,0.558821172411333,0.855032305980639,0.680555555555556,0.916201117318436,179,0.03125,0.118518518518519,0.372093023255814,179,-329.996736369083,3
6650915f8347f93a39a93f5c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6650915f8347f93a39a93f5c_T2_2024-08-04_14h25.38.665.csv,0.584615955651612,0.8,2.98511755254625,1,1,0,0.866299600278162,2,4.18033091763632,4,4,0.0474249371778934,0.5,0.364654378453124,0.5,0.120377777220474,0.5,0.413739641679694,0.2,1,0.587240344249608,0.965793498526561,0.697222222222222,0.983870967741935,62,0.0833333333333333,0.587412587412587,0.333333333333333,62,-287.354898570641,3
6650b525c83a2e7b6048fcda,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6650b525c83a2e7b6048fcda_T1_2024-07-12_09h49.39.144.csv,0.555475429054422,0.8,1.19103593955039,1,1,0,0.928494853288832,2,6.78654168982263,4,4,0.128557263709502,0.5,0.717913232081804,0.5,0.301279893259383,0.5,0.34224519782793,0.2,1,0.567619051136053,0.869547755555814,0.677777777777778,0.972222222222222,36,0.138755980861244,0.226666666666667,0.333333333333333,36,-288.230475431241,3
6650da43a82f01840447bcbe,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6650da43a82f01840447bcbe_T2_2024-06-17_18h29.45.467.csv,0.568326677939971,0.8,1.70345559851073,1,1,0,1.09519750817092,2,1.98176825206556,4,4,0.0987672255863388,0.5,0.397855936588876,0.5,0.105573497800375,0.5,0.42740133230281,0.2,1,0.495826369506089,0.840953241813404,0.619444444444444,0.916129032258065,155,0.0765765765765766,0.240875912408759,0.774193548387097,155,-378.009977294097,3
665288637afb1c6f9ef2d257,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_665288637afb1c6f9ef2d257_T2_2024-07-19_17h02.13.472.csv,0.510014892053735,0.8,1.63430213367528,1,1,0,1.33236060377592,2,2.64944511107357,4,4,0.0375138577213444,0.5,0.511561371666623,0.5,0.0968308473696278,0.5,0.526216727632916,0.2,1,0.556965478983024,0.799908689302738,0.663888888888889,0.854430379746835,158,0.22972972972973,0.423357664233577,0.84375,158,-358.233187174017,3
6652b039261ef03ecb978b4b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6652b039261ef03ecb978b4b_T2_2024-07-15_16h01.50.632.csv,0.657310081213073,0.8,0.516165372262032,1,1,0,1.22217002869874,2,3.20231879258149,4,4,0.874925285129335,0.5,0.746930239257117,0.5,0.108343554183066,0.5,0.122112563359089,0.2,1,0.544082769040277,0.763068499117344,0.675,0.924242424242424,132,0.0576923076923077,0.19205298013245,0.902439024390244,132,-351.655862353704,3
66548532974360d0c90b9dd5,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66548532974360d0c90b9dd5_T2_2024-06-21_10h02.02.659.csv,0.53945249963867,0.8,2.65285778550996,1,1,0,1.53137312437416,2,1.67246216087949,4,4,0.106877091337283,0.5,0.385892162055223,0.5,0.107181569550057,0.5,0.579172934898122,0.2,1,0.688195683031305,0.918091062053264,0.786111111111111,0.945205479452055,219,0.0127118644067797,0.203252032520325,0.818181818181818,219,-258.30256775304,3
6654a18a5fde8d605b36daec,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6654a18a5fde8d605b36daec_T1_2024-07-12_14h47.31.226.csv,0.631001023164726,0.8,1.00993138575876,1,1,0,1.16881668759582,2,2.61871600810966,4,4,0.54614221400381,0.5,0.485342825840106,0.5,0.0957828720562063,0.5,0.448699966159071,0.2,1,0.593824108700534,0.790800930586142,0.691666666666667,0.891089108910891,101,0.0508474576271186,0.154471544715447,0.863636363636364,101,-307.243677542364,3
66550501336446c73dbbb0cf,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_66550501336446c73dbbb0cf_T2_2024-06-27_15h53.05.719.csv,0.580848967874161,0.8,2.79892607296174,1,1,0,1.10767370362299,2,0.823577470958027,4,4,0.127961678929786,0.5,0.368343009848018,0.5,0.11237173118286,0.5,0.464737794268037,0.2,1,0.693574262732429,0.926459074681789,0.780555555555556,0.958333333333333,240,0.0163934426229508,0.2,0.792452830188679,240,-252.30831666813,3
